Video ID,Likes,Time,Comment
dhAmMXCBIcg,0,2024-04-10T01:57:24Z,Samsung Galaxy S21 doesn&#39;t have 3x Telephoto lens. It only has 64MP 1.1X (Wide camera but used as Telephoto and uses sensor crop for hybrid zoom)
dhAmMXCBIcg,0,2024-03-31T20:14:37Z,Very good i really like the video
dhAmMXCBIcg,1,2024-03-20T16:08:21Z,"Always talking about how good the features are but never come back to tell us how bad the screens are after few months ,bought s21 not even up to a month and it has a pink line on the screen,not just that,another month came and it came with a green line too🤦‍♂️🤦‍♂️"
dhAmMXCBIcg,0,2024-03-10T11:01:01Z,"where are you living bro, one moment your phone says its 34⁰C out next moment its snowing"
dhAmMXCBIcg,1,2024-02-25T18:26:55Z,Screen to small
dhAmMXCBIcg,2,2024-02-25T00:59:55Z,Hahha so you will barley notice the plastic 😂 how much they paid you
dhAmMXCBIcg,0,2024-01-31T20:07:42Z,The Galaxy S21 doesn&#39;t have a <b>&quot;laser autofocus&quot;</b> because technically it doesn&#39;t need it.. the dual pixel autofocus is way faster than the ultra. Only reason the ultra needed a laser autofocus was because of its ridiculously large sensor that was plagued with focusing issues
dhAmMXCBIcg,2,2024-01-27T20:35:48Z,I have a s21 and a s22 i dont feel any difference 😂
dhAmMXCBIcg,1,2024-01-22T04:17:09Z,I love the colour combination on S21 Plus. Perfecto
dhAmMXCBIcg,0,2024-01-09T19:42:15Z,Hello everybody. I found this one for 250€ black color in a great condition what to do?
dhAmMXCBIcg,1,2024-01-04T04:24:36Z,S21 and iPhone 11 which one has the better camera?
dhAmMXCBIcg,1,2024-01-01T21:24:32Z,I am thinking the reason for the price drop is because of failed software updates from the providers. Hopefully Google will take this part over from the carriers to resolve this type of issue when you move from one(TM) carrier to another(ATT). Mine is a 21+5g and still shows no update past version 12 and it was released with ver11. I am working on finding a manual update process since ATT or Samsung has no fix for me other than a sw reflash thru ifixit🤦‍♂
dhAmMXCBIcg,0,2023-12-31T14:06:08Z,This is the best old samsung flagship to get for cheap rn going into 2024
dhAmMXCBIcg,1,2023-12-17T18:02:43Z,"I have S10+ and looking for my next phone. I&#39;m looking at the S20+ and it looks OK despite the lack of headphone port. Now,= with S21,  they got rid of the SD card slot and only offer 256GB of storage? Oh and plastic, and 1080p display? C&#39;mon. <br><br>Oh, and the ones with 256GB cost twice as much as those with 128GB, because nobody wants an unexpandable phone with only 128GB. Obviously, Samsung crippled the S21. It was the coronavirus, so they wanted to simplify things, but S21 is a backward step, so I&#39;m sticking with my S10, and I&#39;ll probably upgrade to S20, and then hold it for dear life for the rest of time."
dhAmMXCBIcg,0,2023-12-16T16:20:40Z,this phone worth it in 2023 ?
dhAmMXCBIcg,2,2023-12-14T10:57:30Z,الله أكبر ☝️ ولله الحمد ☝️
dhAmMXCBIcg,0,2023-11-09T20:39:35Z,Why these phones don&#39;t have the heart beat sensor and the light indicator on the front of the phone
dhAmMXCBIcg,2,2023-11-01T08:35:55Z,That&#39;s my phone 📱
dhAmMXCBIcg,0,2023-10-30T19:36:36Z,I’m an iPhone user changing from the iPhone 12 Pro Max to the Samsung S21 to try android !
dhAmMXCBIcg,0,2023-10-30T19:36:02Z,It could be 400 say but at the counter it&#39;ll be like close to 500. That&#39;s the one thing I dislike aut theUs
dhAmMXCBIcg,0,2023-10-28T21:52:44Z,"Making  videos  for a long time or playing game for a long  period of time ,causes the phone to heat up"
dhAmMXCBIcg,2,2023-10-24T18:54:15Z,I bought the s21 but noticed it likes to disconnect from the wifi saying &quot;connected without internet&quot; tried many things and looked for many other fixes yet seems to still do it was wondering if anyone else has this issue
dhAmMXCBIcg,0,2023-10-17T11:37:00Z,Focus. I think the S21 trumps the vultra on focus
dhAmMXCBIcg,0,2023-10-09T07:40:21Z,Best review i have seen on this phone thanks.
dhAmMXCBIcg,1,2023-09-30T23:33:34Z,"Hey can you please answer my question?! I just want a SECOND phone to play PUBG, Genshin impact and retro game boy games and I found this cell phone for like $200 bucks renewed is it a good deal?"
dhAmMXCBIcg,1,2023-09-26T20:12:51Z,s21+ for 330$ in 2023 ? please need help
dhAmMXCBIcg,0,2023-09-17T14:36:56Z,How do you activate 5g
dhAmMXCBIcg,2,2023-09-08T17:04:24Z,"I&#39;m updating from a S21 from the one plus 6t, have always been a Samsung user(S6/S7edge/S8/S9/9plus/S10e) definitely a bit Disappointed with the dtuff cutted but lets see when it gets here."
dhAmMXCBIcg,1,2023-08-27T12:16:33Z,It&#39;s 1080p that&#39;s sad😂
dhAmMXCBIcg,1,2023-08-18T04:19:14Z,"I switched from Samsung phones to Motorola phones just because of the battery life , battery life on Samsung phones is bad."
dhAmMXCBIcg,1,2023-08-11T11:37:01Z,I appreciated how size of 21 normal<br>A21s felt to large on my hand but s21 not only.faster it fits my hand
dhAmMXCBIcg,0,2023-08-05T23:24:59Z,This phone really sucks on my 2 and having the same issue sim card problems tomorrow gonna do iPhone I
dhAmMXCBIcg,1,2023-08-05T02:45:33Z,I think that the camera is far less superior than the new 2023 motarola razr+. it just cannot compare to such astonishing  flipping design which is also better than the folding experience
dhAmMXCBIcg,4,2023-07-18T15:19:31Z,I just bought one for 340 dollars in 2023 let&#39;s see how it&#39;s gonna be
dhAmMXCBIcg,2,2023-06-27T18:31:48Z,Pov: you have s22
dhAmMXCBIcg,1,2023-06-17T06:16:59Z,"Just imagine, you&#39;re using mobile data and after the end of the video, you noticed that the video was on 2k... What would happen ? 😂😂"
dhAmMXCBIcg,0,2023-06-14T17:10:46Z,I think Plastic is better than Fragile Glass back especially for reckless users like me.😂😂
dhAmMXCBIcg,1,2023-06-13T14:23:43Z,The display on the S 21 causes white spots in my vision and pain in my eyes within about 20 minutes. The display on my S-10 I could stare at for 6 hours with no problems.
dhAmMXCBIcg,0,2023-06-01T08:57:59Z,"In addition, there is very good acoustics and 4G quality even with a weak network, nice video, independent and critical, many thanks from Denmark."
dhAmMXCBIcg,1,2023-05-11T00:37:57Z,Bought one with defect sound for 150 euro. ordered two speakers for 20 and some adhesive tape for 13 bucks.<br>It worth it yeah.
dhAmMXCBIcg,2,2023-05-01T20:47:15Z,Which is best S21 or S21 fe
dhAmMXCBIcg,1,2023-04-30T03:35:43Z,"Appreciate your review 👍🏾and you&#39;ve def sold me on the 21 with your video. But aside from price between 21, 22, 23 which one would you choose or is the better phone overall?"
dhAmMXCBIcg,0,2023-04-23T23:47:35Z,Dude I swear you are the black version of me. 😂 I’m also a camra nerd. Lol
dhAmMXCBIcg,2,2023-04-20T01:47:13Z,"battery life is garbage. My Galaxy A32 lasted longer than this one does, and it gets pretty warm when I barely use it, plus it came with a type c to type c cable"
dhAmMXCBIcg,0,2023-04-13T21:52:10Z,Love the teddy fresh comment
dhAmMXCBIcg,3,2023-04-08T22:43:26Z,I have that phone I&#39;ll see u  in 2026
dhAmMXCBIcg,0,2023-04-08T05:17:45Z,Slick
